discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/stefania-constantini,Stefania CONSTANTINI,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/amos-mosaner,Amos MOSANER,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/kristin-skaslien,Kristin SKASLIEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/magnus-nedregotten,Magnus NEDREGOTTEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/almida-de-val,Almida DE VAL,Sweden,SE,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/oskar-eriksson,Oskar ERIKSSON,Sweden,SE,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,,,Japan,JP,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,,,Sweden,SE,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,,,Sweden,SE,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,,,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,,https://olympics.com/en/athletes/mikael-kingsbury,Mikael KINGSBURY,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,,https://olympics.com/en/athletes/wallberg,Walter WALLBERG,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ikuma-horishima,Ikuma HORISHIMA,Japan,JP,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,,https://olympics.com/en/athletes/nico-porteous,Nico PORTEOUS,New Zealand,NZ,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,,https://olympics.com/en/athletes/david-wise,David WISE,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alex-ferreira,Alex FERREIRA,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henrik-harlaut,Henrik HARLAUT,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,,https://olympics.com/en/athletes/birk-ruud,Birk RUUD,Norway,NO,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,,https://olympics.com/en/athletes/colby-stevenson,Colby STEVENSON,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sergey-ridzik-1,Sergey RIDZIK,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alex-fiva,Alex FIVA,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ryan-regez,Ryan REGEZ,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/mathilde-gremaud,Mathilde GREMAUD,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,,https://olympics.com/en/athletes/tess-ledeux,Tess LEDEUX,France,FR,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,,https://olympics.com/en/athletes/kauf,Jaelin KAUF,United States of America,US,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anthony,Jakara ANTHONY,Australia,AU,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/anastasiia-smirnova,Anastasiia SMIRNOVA,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,,,United States of America,US,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,,,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,,,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,,https://olympics.com/en/athletes/marielle-thompson,Marielle THOMPSON,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,,https://olympics.com/en/athletes/sandra-naeslund,Sandra NAESLUND,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/daniela-maier,Daniela MAIER,Germany,DE,GER
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ilia-burov,Ilia BUROV,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,,https://olympics.com/en/athletes/guangpu-qi,Guangpu QI,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,,https://olympics.com/en/athletes/oleksandr-abramenko,Oleksandr ABRAMENKO,Ukraine,UA,UKR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,,https://olympics.com/en/athletes/hanna-huskova,Hanna HUSKOVA,Belarus,BY,BLR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,,https://olympics.com/en/athletes/mengtao-xu,Mengtao XU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/megan-nick,Megan NICK,United States of America,US,USA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,,https://olympics.com/en/athletes/cassie-sharpe,Cassie SHARPE,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/rachel-karker,Rachel KARKER,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,,https://olympics.com/en/athletes/mathilde-gremaud,Mathilde GREMAUD,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kelly-sildaru,Kelly SILDARU,Estonia,EE,EST
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,,https://olympics.com/en/athletes/nicholas-goepper,Nicholas GOEPPER,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jesper-tjader,Jesper TJADER,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alexander-hall-1,Alexander HALL,United States of America,US,USA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,,https://olympics.com/en/athletes/suzanne-schulting,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/boutin,Kim BOUTIN,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,,https://olympics.com/en/athletes/arianna-fontana,Arianna FONTANA,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/steven-dubois,Steven DUBOIS,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,,https://olympics.com/en/athletes/shaoang-liu,Shaoang LIU,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/konstantin-ivliev,Konstantin IVLIEV,ROC,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,,,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,Republic of Korea,,,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,,,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,People's Republic of China,,,People's Republic of China,CN,CHN
