vlookup,Yearmonth,Year,Month,Main_cat,Category,Category2,Sea level (mm),Ocean heat content,Ocean heat uptake (W m^-2),step1,step2,step3,200301,x
200301Total sea level (altimetry)_inv,200301,2003,01,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.52393341,0,0,-29.87215805,,-63.52393341,0,
200302Total sea level (altimetry)_inv,200302,2003,02,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-61.61087036,0,0,-28.81694794,,-61.61087036,1.913063049,
200303Total sea level (altimetry)_inv,200303,2003,03,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-62.55367279,0,0,-29.3991394,,-62.55367279,0.9702606201,
200304Total sea level (altimetry)_inv,200304,2003,04,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.04627609,0,0,-30.58372879,,-63.04627609,0.4776573181,
200305Total sea level (altimetry)_inv,200305,2003,05,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-62.07608032,0,0,-29.61344528,,-62.07608032,1.447853088,
200306Total sea level (altimetry)_inv,200306,2003,06,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.52679443,0,0,-29.90652847,,-63.52679443,-0.002861022949,
200307Total sea level (altimetry)_inv,200307,2003,07,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.50028992,0,0,-28.79549408,,-63.50028992,0.02364349365,
200308Total sea level (altimetry)_inv,200308,2003,08,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.53232574,0,0,-29.14248657,,-63.53232574,-0.008392333984,
200309Total sea level (altimetry)_inv,200309,2003,09,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-61.50244141,0,0,-26.04224205,,-61.50244141,2.021492004,
200310Total sea level (altimetry)_inv,200310,2003,10,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-60.8505249,0,0,-27.65633774,,-60.8505249,2.673408508,
200311Total sea level (altimetry)_inv,200311,2003,11,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-63.16769409,0,0,-29.77054214,,-63.16769409,0.3562393188,
200312Total sea level (altimetry)_inv,200312,2003,12,Total sea level (altimetry)-mean,Total sea level (altimetry)_inv,Total sea level (altimetry),-62.61351013,0,0,-28.30677795,,-62.61351013,0.9104232788,
