Year,Region,Period,Population,High,Low
1950,Africa,Past,225120311,225120311,225120311
1955,Africa,Past,250996982,250996982,250996982
1960,Africa,Past,280903431,280903431,280903431
1965,Africa,Past,317406226,317406226,317406226
1970,Africa,Past,360671324,360671324,360671324
1975,Africa,Past,411631597,411631597,411631597
1980,Africa,Past,474765018,474765018,474765018
1985,Africa,Past,547785817,547785817,547785817
1990,Africa,Past,629698822,629698822,629698822
1995,Africa,Past,715094433,715094433,715094433
2000,Africa,Past,808870908,808870908,808870908
2005,Africa,Past,916192532,916192532,916192532
2010,Africa,Past,1041484014,1041484014,1041484014
2015,Africa,Past,1185462534,1185462534,1185462534
2020,Africa,Past,1344069830,1344069830,1344069830
2025,Africa,Future,1512428655,1520384567,1504473149
2030,Africa,Future,1692186171,1720044019,1664337234
2035,Africa,Future,1880099247,1938372152,1821870468
2040,Africa,Future,2073830812,2169482371,1978368638
2045,Africa,Future,2270126162,2409993089,2131456250
2050,Africa,Future,2465754850,2660501419,2275493651
2055,Africa,Future,2657438687,2920675209,2405537002
2060,Africa,Future,2842982261,3189149026,2519169509
2065,Africa,Future,3020948829,3463661047,2615958788
2070,Africa,Future,3189577699,3741479996,2695581910
2075,Africa,Future,3346895592,4020682915,2757114681
2080,Africa,Future,3490825089,4299942287,2799119255
2085,Africa,Future,3620869142,4579662503,2821377266
2090,Africa,Future,3735552232,4857991830,2823393032
2095,Africa,Future,3834301844,5133201589,2806026385
2100,Africa,Future,3917076934,5403837113,2771012290
1950,Asia,Past,1365952997,1365952997,1365952997
1955,Asia,Past,1515565885,1515565885,1515565885
1960,Asia,Past,1687109645,1687109645,1687109645
1965,Asia,Past,1878936957,1878936957,1878936957
1970,Asia,Past,2119694222,2119694222,2119694222
1975,Asia,Past,2372414663,2372414663,2372414663
1980,Asia,Past,2610304951,2610304951,2610304951
1985,Asia,Past,2881942971,2881942971,2881942971
1990,Asia,Past,3180894355,3180894355,3180894355
1995,Asia,Past,3458387205,3458387205,3458387205
2000,Asia,Past,3710927693,3710927693,3710927693
2005,Asia,Past,3956347487,3956347487,3956347487
2010,Asia,Past,4196968511,4196968511,4196968511
2015,Asia,Past,4437208643,4437208643,4437208643
2020,Asia,Past,4647857977,4647857977,4647857977
2025,Asia,Future,4800868175,4826523108,4775211422
2030,Asia,Future,4945652427,5029117372,4862260273
2035,Asia,Future,5068063483,5229626612,4906816264
2040,Asia,Future,5167563222,5414038164,4921378540
2045,Asia,Future,5242999222,5576533444,4910446127
2050,Asia,Future,5290144616,5720320283,4867038937
2055,Asia,Future,5305546526,5850377143,4784226415
2060,Asia,Future,5292608743,5972337648,4663091417
2065,Asia,Future,5258873985,6089810407,4512725263
2070,Asia,Future,5210000263,6202483063,4342755746
2075,Asia,Future,5147795514,6309164875,4157848577
2080,Asia,Future,5071617956,6411183620,3958435073
2085,Asia,Future,4983305906,6513844347,3746305972
2090,Asia,Future,4887774117,6622706030,3526432433
2095,Asia,Future,4788187592,6738364707,3302890046
2100,Asia,Future,4684822376,6857423247,3077779217
1950,Europe,Past,547304279,547304279,547304279
1955,Europe,Past,573464682,573464682,573464682
1960,Europe,Past,602648649,602648649,602648649
1965,Europe,Past,631751228,631751228,631751228
1970,Europe,Past,654744742,654744742,654744742
1975,Europe,Past,674953289,674953289,674953289
1980,Europe,Past,691839825,691839825,691839825
1985,Europe,Past,706184689,706184689,706184689
1990,Europe,Past,720335312,720335312,720335312
1995,Europe,Past,727214979,727214979,727214979
2000,Europe,Past,726920484,726920484,726920484
2005,Europe,Past,728614943,728614943,728614943
2010,Europe,Past,735650133,735650133,735650133
2015,Europe,Past,741540030,741540030,741540030
2020,Europe,Past,746597458,746597458,746597458
2025,Europe,Future,741375665,744699643,738050448
2030,Europe,Future,737128937,747617341,726634515
2035,Europe,Future,730926535,750821567,711037193
2040,Europe,Future,723336520,753417321,693309805
2045,Europe,Future,714567963,754832638,674398648
2050,Europe,Future,704171538,755084731,653710917
2055,Europe,Future,691708083,754789118,630377233
2060,Europe,Future,677689169,755264587,604428959
2065,Europe,Future,663330814,757660257,577079792
2070,Europe,Future,649626629,762145802,549729162
2075,Europe,Future,636988568,768394730,523192906
2080,Europe,Future,625394563,776246347,497673951
2085,Europe,Future,614732992,785984994,473096697
2090,Europe,Future,604963806,798074123,449348236
2095,Europe,Future,595955377,812573797,426229490
2100,Europe,Future,587361537,828866454,403449835
1950,LAC,Past,166137383,166137383,166137383
1955,LAC,Past,189384027,189384027,189384027
1960,LAC,Past,216712725,216712725,216712725
1965,LAC,Past,248706117,248706117,248706117
1970,LAC,Past,283011868,283011868,283011868
1975,LAC,Past,319257004,319257004,319257004
1980,LAC,Past,358347441,358347441,358347441
1985,LAC,Past,398145939,398145939,398145939
1990,LAC,Past,438384266,438384266,438384266
1995,LAC,Past,479414859,479414859,479414859
2000,LAC,Past,518770743,518770743,518770743
2005,LAC,Past,554587278,554587278,554587278
